Title,Issue,Pedigree,Publisher,Year,Grader,Grade,Page Quality
Police Comics,38,Mile High pedigree,Quality,1944,CGC,VF/NM 9.0,Off-white to white pages.
Popular Comics,79,Mile High pedigree,Dell,1942,CGC,NM 9.4,Off-white to white pages.
Prize Comics,20,Mile High pedigree,Prize,1942,CGC,NM 9.4,Off-white pages.
Rawhide Kid,6,Mile High pedigree,Marvel,1956,CGC,NM 9.4,White pages.
Red Ryder Comics,12,Mile High pedigree,Dell,1943,CGC,NM 9.4,Off-white to white pages.
Science Comics,7,Mile High pedigree,Fox,1940,CGC,NM+ 9.6,White pages.
Secret Hearts,1,Mile High pedigree,DC,1949,CGC,NM- 9.2,White pages.
Sheena, Queen of the Jungle,7,Mile High pedigree,Fiction House,1950,CGC,NM 9.4,White pages.
Slam-Bang Comics,7,Mile High pedigree,Fawcett,1940,CGC,NM 9.4,Off-white to white pages.
Smash Comics,51,Mile High pedigree,Quality,1944,CGC,NM+ 9.6,White pages.
Speed Comics,36,Mile High pedigree,Harvey,1945,CGC,NM+ 9.6,Off-white to white pages.
Star Spangled Comics,27,Mile High pedigree,DC,1943,CGC,NM 9.4,Off-white to white pages.
Star Spangled Comics,33,Mile High pedigree,DC,1944,CGC,NM+ 9.6,Off-white to white pages.
Star Spangled Comics,35,Mile High pedigree,DC,1944,CGC,NM 9.4,Off-white to white pages.
Star Spangled Comics,80,Mile High pedigree,DC,1948,CGC,NM+ 9.6,Off-white to white pages.
Startling Comics,25,Mile High pedigree,Better Publications,1944,CGC,NM+ 9.6,Off-white to white pages.
Startling Comics,47,Mile High pedigree,Better Publications,1947,CGC,NM+ 9.6,Off-white to white pages.
Straight Arrow,1,Mile High pedigree,Magazine Enterprises,1950,CGC,NM- 9.2,White pages.
Super Comics,60,Mile High pedigree,Dell,1941,CGC,NM+ 9.6,Off-white to white pages.
Supersnipe Comics,7,Mile High pedigree,Street & Smith,1943,CGC,NM+ 9.6,Off-white to white pages.
Suspense Comics,9,Mile High pedigree,Continental Magazines,1945,CGC,NM 9.4,Off-white to white pages.
Target Comics,V2#4,Mile High pedigree,Novelty Press,1941,CGC,NM+ 9.6,Off-white to white pages.
Target Comics,V2#6,Mile High pedigree,Novelty Press,1941,CGC,NM- 9.2,Off-white to white pages.
Target Comics,V7#12,Mile High pedigree,Novelty Press,1947,CGC,NM 9.4,Off-white to white pages.
Target Comics,V9#10,Mile High pedigree,Novelty Press,1948,CGC,NM 9.4,Off-white to white pages.
Teen Comics,26,Mile High pedigree,Marvel,1948,CGC,NM- 9.2,Off-white to white pages.
The Funnies,42,Mile High pedigree,Dell,1940,CGC,NM- 9.2,Off-white to white pages.
The Spirit,15,Mile High pedigree,Quality,1949,CGC,NM+ 9.6,Off-white to white pages.
Top-Notch Comics,3,Mile High pedigree,MLJ,1940,CGC,NM+ 9.6,Off-white to white pages.
Top-Notch Comics,37,Mile High pedigree,MLJ,1943,CGC,NM+ 9.6,Off-white to white pages.
Two-Gun Kid,3,Mile High pedigree,Marvel,1948,CGC,NM 9.4,Off-white to white pages.
Weird Comics,6,Mile High pedigree,Fox,1940,CGC,NM- 9.2,Off-white to white pages.
Weird Comics,9,Mile High pedigree,Fox,1940,CGC,NM- 9.2,Off-white to white pages.
Western Comics,24,Mile High pedigree,DC,1951,CGC,NM 9.4,Off-white to white pages.
Whiz Comics,62,Mile High pedigree,Fawcett,1945,CGC,NM+ 9.6,Off-white to white pages.
Wings Comics,69,Mile High pedigree,Fiction House,1946,CGC,NM+ 9.6,Off-white to white pages.
Wonder Woman,17,Mile High pedigree,DC,1946,CGC,NM+ 9.6,Off-white to white pages.
Wow Comics,57,Mile High pedigree,Fawcett,1947,CGC,FN- 5.5,White pages.
Yellowjacket Comics,8,Mile High pedigree,Charlton,1946,CGC,NM+ 9.6,Off-white to white pages.

