title,Issue,MHC Grade,MHC Price,CGC Grade,Page Quality,Note,Year,Publisher
adventure comics,137,FN,$11.00 ,,,,,
adventure comics,138,FN,$11.00 ,,,,,
adventure comics,140,FN,$11.00 ,,,,,
adventure comics,141,FN,$9.00 ,,,,,
adventure comics,142,G,$3.00 ,,,,,
adventure comics ,143,NM ,$16.00 ,8,OW-W , ,1949,D.C. Comics
adventure comics,144,FN,$9.00 ,,,,,
adventure comics,146,NM+,$20.00 ,,,,,
adventure comics,149,VG,$6.00 ,,,,,
adventure comics,152,VG,$6.00 ,,,,,
adventure comics,153,VG,$18.00 ,,,,,
adventure comics,158,VG,$6.00 ,,,,,
adventure comics,160,NM,$15.00 ,,,,,
adventure comics,165,NM,$15.00 ,,,,,
adventure comics,166,NM+,$18.00 ,,,,,
adventure comics,167,NM,$15.00 ,,,,,
adventure comics,183,NM,$15.00 ,,,,,
adventure in darkness,5,VG,$2.00 ,,,,,
adventure in darkness,6,FN,$2.00 ,,,,,
adventure in darkness,7,FN,$2.00 ,,,,,
adventure in darkness,9,FN,$2.00 ,,,,,
adventure in darkness,10,FN,$2.00 ,,,,,
adventure in darkness,11,VG,$2.00 ,,,,,
adventures in romance,1,NM,$4.00 ,,,,,
adventures in terror,1,NM+,$15.00 ,,,,,
adventures in terror,2,NM+,$15.00 ,,,,,
adventures in terror,3,NM+,$8.00 ,,,,,
adventures in terror,4,NM+,$8.00 ,,,,,
adventures in terror,5,NM+,$8.00 ,,,,,
adventures in terror,6,G,$2.00 ,,,,,
adventures in terror,7,G,$7.00 ,,,,,
adventures in terror,8,NM,$5.00 ,,,,,
adventures in terror,9,FN,$4.00 ,,,,,
adventures in terror,11,FN,$4.00 ,,,,,
adventures in terror,12,FN,$4.00 ,,,,,
adventures in terror,13,FN,$4.00 ,,,,,
adventures in terror,14,NM+,$5.00 ,,,,,
adventures in terror,15,NM,$4.00 ,,,,,
adventures in terror,16,VG,$3.00 ,,,,,
adventures in terror,17,FN,$4.00 ,,,,,
adventures in terror,19,VG,$3.00 ,,,,,
adventures into the unknown,1,NM,$25.00 ,,,,,
adventures into the unknown,3,NM,$15.00 ,,,,,
adventures into the unknown,4,NM,$15.00 ,,,,,
adventures into the unknown,5,NM,$15.00 ,,,,,
adventures into the unknown,6,NM,$8.00 ,,,,,
adventures into the unknown,7,NM+,$10.00 ,,,,,
adventures into the unknown,8,NM+,$10.00 ,,,,,
adventures into the unknown,9,NM+,$10.00 ,,,,,
adventures into the unknown,10,NM+,$10.00 ,,,,,
adventures into the unknown,11,NM,$5.00 ,,,,,
adventures into the unknown,12,NM+,$8.00 ,,,,,
adventures into the unknown,13,NM,$5.00 ,,,,,
adventures into the unknown,14,G,$2.00 ,,,,,
adventures into the unknown,15,NM+,$8.00 ,,,,,
adventures into the unknown,16,NM+,$8.00 ,,,,,
adventures into the unknown,17,NM+,$8.00 ,,,,,
adventures into the unknown,18,NM+,$8.00 ,,,,,
adventures into the unknown,19,NM,$5.00 ,,,,,
adventures into the unknown,20,NM+,$8.00 ,,,,,
adventures into the unknown,21,NM+,$8.00 ,,,,,
adventures into the unknown,22,NM,$5.00 ,,,,,
adventures into the unknown,23,NM+,$8.00 ,,,,,
adventures into the unknown,24,NM+,$8.00 ,,,,,
adventures into the unknown,25,NM,$5.00 ,,,,,
adventures into the unknown,26,NM+,$8.00 ,,,,,
adventures into the unknown,27,NM+,$35.00 ,,,,,
adventures into the unknown,28,NM+,$8.00 ,,,,,
adventures into the unknown,29,NM+,$8.00 ,,,,,
